"STATION","NAME","DATE","DASF","MDSF","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-01",,,"0.08","1.0","3.0",,"12","-1","6"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-02",,,"0.00","0.0","2.0",,"46","6","27"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-03",,,"0.00","0.0","2.0",,"56","18","30"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-04",,,"0.00","0.0","1.0",,"49","21","23"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-05",,,"0.11",,,,"34","2","3"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-06","    2","3.50","0.08",,"4.0",,"18","1","17"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-07",,,"0.00","0.0","3.0",,"62","17","29"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-08",,,"0.00","0.0","2.0",,"43","25","29"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-09",,,"0.00","0.0","1.0",,"36","18","23"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-10",,,"0.00","0.0","0.0",,"58","23","33"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-11",,,"0.00","0.0","0.0",,"58","30","32"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-12",,,"0.00","0.0","0.0",,"57","27","34"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-13",,,"0.00","0.0","0.0",,"64","32","35"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-14",,,"0.00","0.0","0.0",,"41","26","26"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-15",,,"0.00","0.0","0.0",,"51","17","38"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-16",,,"0.00","0.0","0.0",,"58","25","26"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-17",,,"0.00","0.0","0.0",,"61","23","31"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-18",,,"0.00","0.0","0.0",,"56","27","28"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-19",,,"0.00","0.0","0.0",,"32","18","20"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-20",,,"0.00",,"0.0",,"39","17","21"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-21","    2","0.31","0.06",,"0.0",,"33","21","29"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-22",,,"0.00","0.0","0.0",,"43","22","27"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-23",,,"0.00","0.0","0.0",,"54","23","31"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-24",,,"0.00","0.0","0.0",,"44","23","30"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-25",,,"0.15","4.6","4.0",,"31","13","17"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-26",,,"0.00","0.0","3.0",,"35","4","30"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-27",,,"0.12","2.2","5.0",,"32","12","13"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-28",,,"0.00","0.0","3.0",,"49","8","29"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-29",,,"0.00","0.0","2.0",,"57","23","25"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-30",,,"0.00","0.0","2.0",,"59","16","25"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-01-31",,,"0.00","0.0","0.0",,"61","23","33"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-01",,,"0.14","2.9","3.0",,"33","17","17"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-02",,,"0.35","7.1","9.0",,"17","-2","-1"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-03",,,"0.00","0.0","5.0",,"19","-11","6"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-04",,,"0.00","0.0","3.0",,"44","4","24"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-05",,,"0.00","0.0","1.0",,"49","23","33"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-06",,,"0.00","0.0","1.0",,"39","25","26"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-07",,,"0.00","0.0","0.0",,"55","23","34"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-08",,,"0.00","0.0","0.0",,"49","30","33"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-09",,,"0.00","0.0","0.0",,"57","27",
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-10",,,"0.00","0.0","0.0",,"63","31",
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-11",,,"0.32","3.8","4.0",,"53","23","23"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-12",,,"0.00","0.0","2.0",,"45","11","24"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-13",,,"0.00","0.0","0.0",,"56","23","33"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-14",,,"0.00","0.0","0.0",,"55","25","36"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-15",,,"0.00","0.0","0.0",,"56","29","38"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-16",,,"0.22","3.0","3.0",,"38","17","17"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-17",,,"0.01","0.5","2.0",,"35","10","24"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-18",,,"0.00","0.0","0.0",,"48","20","28"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-19",,,"0.00","0.0","0.0",,"60","28","40"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-20",,,"0.00","0.0","0.0",,"65","29","42"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-21",,,"0.00","0.0","0.0",,"54","4","4"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-22",,,"0.07","1.3","1.0",,"8","-2","2"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-23",,,"0.05","1.3","3.0",,"10","-2","6"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-24",,,"0.08","1.1","3.0",,"24","3","7"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-25",,,"0.00","0.0","2.0",,"25","3","13"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-26",,,"0.00","0.0","1.0",,"42","10","20"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-27",,,"0.00","0.0","1.0",,"61","16","34"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-02-28",,,"0.00","0.0","0.0",,"66","32","42"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-03-01",,,"0.00","0.0","0.0",,"70","42","44"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-03-02",,,"0.00","0.0","0.0",,"70","39","41"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-03-03",,,"0.00","0.0","0.0",,"71","36","46"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-03-04",,,"0.00","0.0","0.0",,"73","33","45"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-03-05",,,"0.00","0.0","0.0",,"67","33","33"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-03-06",,,"0.11","2.0","2.0",,"33","19","20"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-03-07",,,"0.08","1.0","3.0",,"22","9","15"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-03-08",,,"0.00","0.0","0.0",,"30","15","24"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-03-09",,,"0.01","0.0","0.0",,"39","16","16"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-03-10",,,"0.07","1.5","2.0",,"17","-1","5"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-03-11",,,"0.00","0.0","1.0",,"22","5","5"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-03-12",,,"0.00","0.0","0.0",,"36","5","27"
"USW00023062","DENVER CENTRAL PARK, CO US","2022-03-13",,,"0.00","0.0","0.0",,"58","27","31"
