"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-01",,"26","3","3"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-02",,"39","3","15"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-03",,"47","12","14"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-04",,"49","13","19"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-05",,"46","19","20"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-06",,"45","19","21"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-07",,"49","19","30"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-08",,"35","22","22"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-09",,"24","19","20"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-10",,"33","10","10"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-11",,"36","7","13"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-12",,"44","12","19"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-13",,"52","19","27"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-14",,"57","25","25"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-15",,"46","24","24"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-16",,"37","14","15"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-17",,"40","13","17"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-18",,"42","13","29"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-19",,"51","27","27"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-20",,"51","25","33"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-21",,"50","28","30"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-22",,"40","21","22"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-23",,"57","21","30"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-24",,"60","25","27"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-25",,"45","26","32"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-26",,"38","18","18"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-27",,"45","18","27"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-28",,"53","25","26"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-29",,"62","25","48"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-30",,"59","34","35"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-01-31",,"66","27","28"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-02-01",,"35","22","26"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-02-02",,"29","20","20"
"USW00023062","DENVER CENTRAL PARK, CO US","2016-02-03",,"21","4","6"
