"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WESD","WESF"
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-01",,,"0.08","2.1",,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-02",,,"0.00","0.0",,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-03",,,"0.00","0.0",,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-04",,,"0.00","0.0",,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-05",,,"0.00","0.0",,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-06",,,"0.00","0.0",,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-07",,,"0.00","0.0",,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-08",,,"0.00","0.0",,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-09",,,"0.00","0.0",,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-10",,,"0.00","0.0",,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-11",,,"0.02",,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-12",,,"0.65","2.6",,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-13",,,"0.00","0.0",,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-14",,,"0.00","0.0",,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-15",,,"0.00","0.0",,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-16",,,"0.00","0.0",,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-17",,,"0.00","0.0",,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-18",,,"0.00","0.0",,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-19",,,"0.20","0.8",,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-20",,,"0.00","0.0",,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-21",,,"0.00","0.0",,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-22",,,"0.03","0.8",,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-23",,,"0.04",,,,,,,,
"US1CODN0236","DENVER 4.6 ENE, CO US","2019-01-24",,,"0.00","0.0",,,,,,,
