"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-01",,"42","18","21"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-02",,"42","21","21"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-03",,"52","20","27"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-04",,"55","27","32"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-05",,"57","28","35"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-06",,"55","21","21"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-07",,"45","21","21"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-08",,"48","21","21"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-09",,"44","20","26"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-10",,"32","26","26"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-11",,"34","19","20"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-12",,"49","18","21"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-13",,"55","21","37"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-14",,"65","32","32"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-15",,"38","16","17"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-16",,"45","16","32"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-17",,"47","28","30"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-18",,"50","30","33"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-19",,"39","25","26"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-20",,"39","25","26"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-21",,"60","24","31"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-22",,"49","20","21"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-23",,"46","19","20"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-24",,"45","19","25"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-25",,"35","23","23"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-26",,"34","22","22"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-27",,"24","3","4"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-28",,"27","3","15"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-29",,"51","15","29"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-30",,"59","26","35"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-31",,"52","22","23"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-01",,"52","23","25"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-02",,"55","25","28"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-03",,"65","28","34"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-04",,"66","21","21"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-05",,"40","19","33"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-06",,"45","26","29"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-07",,"46","25","38"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-08",,"56","11","12"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-09",,"32","11","11"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-10",,"30","10","13"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-11",,"31","11","13"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-12",,"24","2","2"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-13",,"10","-3","-3"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-14",,"2","-8","-8"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-15",,"0","-10","-8"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-16",,"20","-10","6"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-17",,"42","5","21"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-18",,"29","9","16"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-19",,"32","14","18"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-20",,"47","18","35"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-21",,"57","20","20"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-22",,"42","18","24"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-23",,"60","23","34"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-24",,"62","23","23"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-25",,"42","19","19"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-26",,"29","10","11"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-27",,"39","10","22"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-28",,"37","19","20"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-01",,"39","19","22"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-02",,"53","21","24"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-03",,"62","23","31"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-04",,"62","30","36"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-05",,"58","36","39"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-06",,"66","33","45"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-07",,"69","38","46"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-08",,"66","35","35"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-09",,"67","34","44"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-10",,"52","27","28"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-11",,"48","24","37"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-12",,"44","34","38"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-13",,"38","29","30"
