"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT03","WT05","WT06"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-01","0.00","0.0","1.0",,"42","18","21",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-02","0.00","0.0","1.0",,"42","21","21",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-03","0.00","0.0","0.0",,"52","20","27",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-04","0.00","0.0","0.0",,"55","27","32",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-05","0.00","0.0","0.0",,"57","28","35",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-06","0.00","0.0","0.0",,"55","21","21",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-07","0.00","0.0","0.0",,"45","21","21",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-08","0.00","0.0","0.0",,"48","21","21",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-09","0.00","0.0","0.0",,"44","20","26",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-10","0.06","1.3","1.0",,"32","26","26","    1",,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-11","0.00","0.0","0.0",,"34","19","20",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-12","0.00","0.0","0.0",,"49","18","21",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-13","0.00","0.0","0.0",,"55","21","37",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-14","0.00","0.0","0.0",,"65","32","32",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-15","0.00","0.0","0.0",,"38","16","17",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-16","0.00","0.0","0.0",,"45","16","32",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-17","0.00","0.0","0.0",,"47","28","30",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-18","0.00","0.0","0.0",,"50","30","33",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-19","0.00","0.0","0.0",,"39","25","26",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-20","0.00","0.0","0.0",,"39","25","26",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-21","0.00","0.0","0.0",,"60","24","31",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-22","0.00","0.0","0.0",,"49","20","21",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-23","0.00","0.0","0.0",,"46","19","20",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-24","0.00","0.0","0.0",,"45","19","25",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-25","0.00","0.0","0.0",,"35","23","23",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-26","0.00","0.0","0.0",,"34","22","22","    1",,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-27","0.09","1.7","2.0",,"24","3","4",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-28","0.00","0.0","1.0",,"27","3","15",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-29","0.00","0.0","0.0",,"51","15","29",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-30","0.00","0.0","0.0",,"59","26","35",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-01-31","0.00","0.0","0.0",,"52","22","23",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-01","0.00","0.0","0.0",,"52","23","25",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-02","0.00","0.0","0.0",,"55","25","28",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-03","0.00","0.0","0.0",,"65","28","34",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-04","0.00","0.0","0.0",,"66","21","21",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-05","0.00","0.0","0.0",,"40","19","33",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-06","0.00","0.0","0.0",,"45","26","29",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-07","0.00","0.0","0.0",,"46","25","38",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-08","0.00","0.0","0.0",,"56","11","12","    1",,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-09","0.00","0.0","0.0",,"32","11","11","    1",,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-10","0.00","0.0","0.0",,"30","10","13","    1",,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-11","0.01","0.1","0.0",,"31","11","13","    1",,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-12","0.00","0.0","0.0",,"24","2","2",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-13","0.00","0.0","0.0",,"10","-3","-3","    1",,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-14","0.06","1.0","1.0",,"2","-8","-8",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-15","0.00","0.0","1.0",,"0","-10","-8",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-16","0.00","0.0","1.0",,"20","-10","6",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-17","0.00","0.0","0.0",,"42","5","21","    1",,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-18","0.08","1.6","2.0",,"29","9","16","    1",,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-19","0.00","0.0","1.0",,"32","14","18",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-20","0.00","0.0","0.0",,"47","18","35",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-21","0.23","2.4","2.0",,"57","20","20",,,,"    1"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-22","0.00","0.0","1.0",,"42","18","24",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-23","0.00","0.0","0.0",,"60","23","34",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-24","0.00","0.0","0.0",,"62","23","23",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-25","0.41","11.4","11.0",,"42","19","19","    1",,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-26","0.00","0.0","5.0",,"29","10","11",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-27","0.00","0.0","3.0",,"39","10","22",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-02-28","0.00","0.0","2.0",,"37","19","20",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-01","0.00","0.0","2.0",,"39","19","22",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-02","0.00","0.0","1.0",,"53","21","24",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-03","0.00","0.0","0.0",,"62","23","31",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-04","0.00","0.0","0.0",,"62","30","36",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-05","0.19","0.0","0.0",,"58","36","39","    1",,,"    1"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-06","0.00","0.0","0.0",,"66","33","45",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-07","0.00","0.0","0.0",,"69","38","46",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-08","0.00","0.0","0.0",,"66","35","35",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-09","0.00","0.0","0.0",,"67","34","44",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-10","0.08","0.0","0.0",,"52","27","28",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-11","0.00","0.0","0.0",,"48","24","37",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-12","0.00","0.0","0.0",,"44","34","38",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-13","0.99","5.4","4.0",,"38","29","30",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-14","1.35","13.0","13.0",,"31","25","25","    1",,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-15","0.00","0.0","9.0",,"35","15","24",,,,"    1"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-16","0.00","0.0","8.0",,"38","19","30","    1",,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-17","0.00","0.0","7.0",,"38","26","26",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-18","0.00","0.0","5.0",,"49","21","31",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-19","0.00","0.0","2.0",,"58","25","35","    1",,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-20","0.00","0.0","0.0",,"70","33","50",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-21","0.20","0.0","0.0",,"51","31","31",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-22","0.18","4.0","4.0",,"41","30","35","    1",,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-23","0.05","0.0","0.0",,"42","28","31",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-24","0.03","1.6","2.0",,"42","28","31","    1",,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-25","0.00","0.0","0.0",,"54","28","41",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-26","0.03","0.0","0.0",,"49","35","35",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-27","0.00","0.0","0.0",,"52","31","38",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-28","0.00","0.0","0.0",,"66","35","46",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-29","0.00","0.0","0.0",,"75","32","32",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-30","0.12","2.5","3.0",,"40","24","29",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-31","0.00","0.0","0.0",,"53","24","37",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-01","0.00","0.0","0.0",,"70","27","47",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-02","0.00","0.0","0.0",,"72","42","48",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-03","0.00","0.0","0.0",,"73","40","48",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-04","0.00","0.0","0.0",,"77","38","55",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-05","0.00","0.0","0.0",,"79","48","53",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-06","0.23","0.0","0.0",,"57","36","36",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-07","0.00","0.0","0.0",,"62","34","52",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-08","0.00","0.0","0.0",,"70","43","57",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-09","0.00","0.0","0.0",,"59","34","36",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-10","0.00","0.0","0.0",,"69","28","51",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-11","0.00","0.0","0.0",,"54","37","37",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-12","0.00","0.0","0.0",,"45","29","38",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-13","0.00","0.0","0.0",,"47","32","33",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-14","0.00","0.0","0.0",,"48","29","35",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-15","0.44","4.6","5.0",,"40","29","29",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-16","0.39","0.4","1.0",,"34","27","32",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-17","0.00","0.0","0.0",,"45","29","34",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-18","0.00","0.0","0.0",,"57","30","42",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-19","0.24","3.2","3.0",,"43","20","20",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-20","0.03","0.0","0.0",,"34","16","32",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-21","0.11","1.3","1.0",,"35","27","31",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-22","0.02","0.0","0.0",,"50","26","42","    1",,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-23","0.00","0.0","0.0",,"57","35","38",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-24","0.00","0.0","0.0",,"68","31","50",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-25","0.00","0.0","0.0",,"78","40","59","    1",,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-26","0.00","0.0","0.0",,"77","49","55",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-27","0.50","0.0","0.0",,"57","39","39",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-28","0.20","0.0","0.0",,"58","36","45",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-29","0.00","0.0","0.0",,"68","37","54",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-30","0.00","0.0","0.0",,"78","47","60",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-01","0.00","0.0","0.0",,"84","54","63",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-02","0.14","0.0","0.0",,"68","47","47",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-03","1.29","0.0","0.0",,"47","37","38",,"    1",,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-04","0.00","0.0","0.0",,"58","37","46","    1",,,
