"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-01-01",,,"0.58","0.0","0.0",,"60","47","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-01-02",,,"0.00","0.0","0.0",,"59","43","43"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-01-03",,,"0.00","0.0","0.0",,"56","43","45"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-01-04",,,"0.00","0.0","0.0",,"56","46","46"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-01-05",,,"0.03","0.0","0.0",,"55","48","49"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-01-06",,,"0.00","0.0","0.0",,"66","50","51"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-01-07",,,"0.00","0.0","0.0",,"57","49","49"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-01-08",,,"0.00","0.0","0.0",,"63","47","51"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-01-09",,,"0.32","0.0","0.0",,"60","50","53"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-01-10",,,"0.31","0.0","0.0",,"58","50","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-01-11",,,"0.93","0.0","0.0",,"53","45","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-01-12",,,"1.65","0.0","0.0",,"61","49","61"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-01-13",,,"0.27","0.0","0.0",,"61","60","60"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-01-14",,,"0.98","0.0","0.0",,"60","56","56"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-01-15",,,"0.17","0.0","0.0",,"62","49","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-01-16",,,"0.29","0.0","0.0",,"61","50","54"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-01-17",,,"0.17","0.0","0.0",,"58","52","53"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-01-18",,,"0.09","0.0","0.0",,"57","42","43"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-01-19",,,"0.00","0.0","0.0",,"55","36","36"
