"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-01","58","25","44"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-02","65","29","47"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-03","64","26","50"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-04","60","34","48"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-05","61","30","50"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-06","58","46","54"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-07","56","45","50"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-08","57","48","49"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-09","54","35","45"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-10","62","41","50"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-11","63","37","52"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-12","69","30","55"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-13","75","32","57"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-14","78","33","59"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-15","69","34","57"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-16","77","34","58"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-17","79","34","61"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-18","78","35","59"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-19","81","35","62"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-20","78","37","63"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-21","78","35","60"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-22","75","37","58"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-23","72","35","58"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-24","75","35","63"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-25","73","38","61"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-26","62","40","49"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-27","56","28","45"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-28","56","23","45"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-29","52","28","42"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-30","57","23","45"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-01-31","48","28","46"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-02-01","52","42","51"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-02-02","56","45","50"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-02-03","54","40","49"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-02-04","53","43","48"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-02-05","56","43","53"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-02-06","55","43","51"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-02-07","56","49","54"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-02-08","56","51","55"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-02-09","59","48","51"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-02-10","56","47","53"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-02-11","63","38","54"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-02-12","55","42","51"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-02-13","64","51","54"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-02-14","60","39","50"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-02-15","62","37","53"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-02-16","57","34","48"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-02-17","62","35","49"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-02-18","62","31","55"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-02-19","56","46","53"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-02-20","59","39","49"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-02-21","59","36","54"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-02-22","65","28","58"
"USC00040673","BEN LOMOND NUMBER 4, CA US","1975-02-23","70","28","60"
