date,all time high,all time high year,lowest high,lowest high year,highest low,highest low year,all time low,all time low year
01-01,66.0,2006,7.0,1974,35.0,1998,-14.0,1974
01-02,74.0,1997,12.0,1968,38.0,2009,-15.0,1974
01-03,65.0,2009,-1.0,1959,33.0,1997,-17.0,1974
01-04,67.0,1956,8.0,1950,36.0,2008,-16.0,1972
01-05,72.0,1956,4.0,1974,37.0,1956,-17.0,1974
01-06,71.0,2001,6.0,2005,35.0,1983,-16.0,1971
01-07,69.0,1969,19.0,1973,39.0,2006,-12.0,2017
01-08,69.0,2003,13.0,1973,38.0,1990,-13.0,1974
01-09,72.0,2003,-1.0,1962,42.0,1990,-24.0,1962
01-10,71.0,1990,5.0,1962,34.0,1953,-24.0,1962
01-11,67.0,2004,-9.0,1963,36.0,1999,-25.0,1963
01-12,70.0,1953,-1.0,1963,43.0,1953,-25.0,1963
01-13,71.0,1996,1.0,1997,38.0,1980,-9.0,1963
01-14,63.0,2004,8.0,1972,37.0,1980,-8.0,1972
01-15,64.0,1996,11.0,2007,38.0,1999,-7.0,1972
01-16,65.0,2000,13.0,1987,35.0,1973,-6.0,2013
01-17,65.0,1971,13.0,1984,35.0,1986,-11.0,1984
01-18,65.0,2000,6.0,1962,37.0,1972,-19.0,1984
01-19,68.0,1986,4.0,1962,37.0,2015,-16.0,1963
01-20,69.0,2018,15.0,1966,41.0,1986,-9.0,1962
01-21,72.0,2005,3.0,1962,34.0,2009,-14.0,1962
01-22,73.0,2009,10.0,2008,37.0,2009,-14.0,1962
01-23,69.0,1981,12.0,1963,36.0,1950,-8.0,1963
01-24,69.0,2005,4.0,1949,41.0,1953,-9.0,1949
01-25,67.0,2013,11.0,1963,40.0,1953,-9.0,1949
01-26,73.0,1982,8.0,1963,37.0,1982,-6.0,1963
01-27,71.0,2015,6.0,1948,34.0,2012,-20.0,1948
01-28,74.0,2015,4.0,1951,36.0,1954,-16.0,1948
01-29,66.0,1976,-4.0,1951,37.0,2011,-19.0,1949
01-30,66.0,1971,6.0,1951,45.0,1971,-10.0,1985
01-31,70.0,1954,2.0,1951,40.0,1997,-24.0,1951
02-01,70.0,1963,2.0,1985,48.0,2003,-25.0,1951
02-02,73.0,2003,-2.0,2011,48.0,2003,-17.0,2011
02-03,73.0,2020,-7.0,1989,35.0,1962,-17.0,1989
02-04,69.0,1963,-9.0,1989,37.0,1963,-16.0,1989
02-05,76.0,1963,5.0,1989,37.0,1963,-24.0,1989
02-06,68.0,2009,1.0,2014,35.0,1996,-14.0,2014
02-07,71.0,1987,2.0,2014,44.0,2015,-10.0,2014
02-08,75.0,1954,16.0,1982,35.0,2015,-8.0,1989
02-09,73.0,1954,4.0,2011,43.0,1976,-9.0,2011
02-10,71.0,1951,9.0,1981,45.0,1951,-9.0,2011
02-11,83.0,2017,6.0,1948,41.0,1951,-12.0,1981
02-12,72.0,1954,15.0,1995,36.0,1962,-7.0,1948
02-13,73.0,1954,18.0,1951,36.0,1983,-7.0,1951
02-14,71.0,1979,16.0,1990,39.0,1957,-6.0,1966
02-15,66.0,2018,14.0,1990,37.0,1986,-6.0,1966
02-16,70.0,1970,8.0,1993,39.0,1986,-8.0,1993
02-17,76.0,2017,14.0,1993,40.0,2011,-9.0,1993
02-18,68.0,2017,9.0,2006,42.0,1986,-13.0,2006
02-19,73.0,2016,7.0,2006,39.0,1981,-13.0,2006
02-20,68.0,1982,14.0,2018,38.0,1985,-5.0,1955
02-21,71.0,1995,15.0,2018,39.0,2017,-3.0,2018
02-22,74.0,2017,20.0,2018,42.0,2017,-2.0,2018
02-23,67.0,1958,11.0,2015,40.0,2002,0.0,1955
02-24,74.0,2002,9.0,1962,42.0,1957,-6.0,1960
02-25,74.0,1986,14.0,1962,39.0,1958,-5.0,1960
02-26,71.0,1950,2.0,1962,39.0,1986,-8.0,1962
02-27,70.0,1980,-1.0,1962,39.0,1992,-13.0,1962
02-28,74.0,1972,8.0,1962,39.0,1972,-18.0,1962
02-29,70.0,1992,23.0,1960,37.0,2016,-9.0,1960
03-01,76.0,2006,18.0,1960,40.0,1999,-4.0,1962
03-02,75.0,2008,10.0,2002,40.0,1974,-7.0,1960
03-03,73.0,2009,14.0,1978,36.0,1994,-8.0,1960
03-04,74.0,2009,6.0,2019,48.0,2009,-5.0,1948
03-05,73.0,2017,18.0,1948,51.0,2009,-10.0,1948
03-06,75.0,1972,20.0,1996,45.0,2017,1.0,1971
03-07,72.0,2012,25.0,1967,38.0,2014,-2.0,1971
03-08,74.0,1989,17.0,1969,45.0,1986,-2.0,1969
03-09,77.0,1989,21.0,1969,40.0,1989,-1.0,1969
03-10,79.0,1989,7.0,1948,44.0,1991,-7.0,1948
03-11,77.0,1989,17.0,1956,44.0,1995,-10.0,1948
03-12,74.0,2016,17.0,1950,43.0,2003,-5.0,1950
03-13,74.0,1989,25.0,1958,39.0,2015,-3.0,1963
03-14,77.0,2007,23.0,1997,43.0,2007,1.0,1969
03-15,77.0,2003,29.0,1956,43.0,2003,8.0,1956
03-16,79.0,2015,30.0,1958,46.0,2015,13.0,1955
03-17,80.0,2015,28.0,1965,44.0,2004,5.0,1965
03-18,75.0,2007,12.0,1965,44.0,2012,-2.0,1965
